energy,cx
0.113,0
0.12059,0.00168879
0.12818,0.00327604
0.13576,0.00477465
0.15094,0.00754713
0.16612,0.0100718
0.19647,0.0145531
0.23441,0.0193803
0.28753,0.0251544
0.34824,0.030806
0.41653,0.0363462
0.5,0.0422954
0.57941,0.0537976
0.66765,0.0651342
0.8,0.0800804
0.95,0.0948866
1.2041,0.129469
1.49,0.162083
1.7,0.214652
1.9,0.299673
2.25,0.437119
2.5,0.505619
2.75,0.495959
3.2353,0.445666
3.6961,0.40801
4.8333,0.341324
5.5,0.311466
6.1412,0.288882
7.9365,0.239655
9.9882,0.198896
12.352,0.164025
15.786,0.129603
20,0.0982559
